Particle Name
21 g
22 gamma
24 W
23 Z
25 H
11 e
13 mu
15 tau
1 d
2 u
3 s
4 c
5 b
6 t
211 pi
111 pi
221 eta
9000221 f(0)(500)
113 rho(770)
223 omega(782)
331 eta'(958)
9010221 f(0)(980)
9000111 a(0)(980)
333 phi(1020)
10223 h(1)(1170)
10113 b(1)(1235)
20113 a(1)(1260)
225 f(2)(1270)
20223 f(1)(1285)
100221 eta(1295)
100111 pi(1300)
115 a(2)(1320)
10221 f(0)(1370)
9000113 pi(1)(1400)
9020221 eta(1405)
20333 f(1)(1420)
1000223 omega(1420)
10111 a(0)(1450)
100113 rho(1450)
100331 eta(1475)
9030221 f(0)(1500)
335 f(2)'(1525)
9010113 pi(1)(1600)
10225 eta(2)(1645)
30223 omega(1650)
227 omega(3)(1670)
10115 pi(2)(1670)
100333 phi(1680)
117 rho(3)(1690)
30113 rho(1700)
10331 f(0)(1710)
9010111 pi(1800)
337 phi(3)(1850)
9050225 f(2)(1950)
9060225 f(2)(2010)
119 a(4)(2040)
229 f(4)(2050)
9080225 f(2)(2300)
9090225 f(2)(2340)
321 K
311 K
310 K(S)
130 K(L)
9000311 K(0)*(700)
313 K*(892)
323 K*(892)
10313 K(1)(1270)
20313 K(1)(1400)
100313 K*(1410)
10311 K(0)*(1430)
315 K(2)*(1430)
325 K(2)*(1430)
30313 K*(1680)
10315 K(2)(1770)
317 K(3)*(1780)
20315 K(2)(1820)
319 K(4)*(2045)
411 D
421 D
423 D*(2007)
413 D*(2010)
10421 D(0)*(2400)
10423 D(1)(2420)
425 D(2)*(2460)
415 D(2)*(2460)
431 D(s)
433 D(s)*
10431 D(s0)*(2317)
20433 D(s1)(2460)
10433 D(s1)(2536)
435 D(s2)*(2573)
521 B
511 B
513 B*
515 B(2)*(5747)
531 B(s)
533 B(s)*
535 B(s2)*(5840)
541 B(c)
441 eta(c)(1S)
443 J/psi(1S)
10441 chi(c0)(1P)
20443 chi(c1)(1P)
10443 h(c)(1P)
445 chi(c2)(1P)
100441 eta(c)(2S)
100443 psi(2S)
30443 psi(3770)
100445 chi(c2)(3930)
9000443 psi(4040)
9010443 psi(4160)
9020443 psi(4415)
553 Upsilon(1S)
10551 chi(b0)(1P)
20553 chi(b1)(1P)
10553 h(b)(1P)
555 chi(b2)(1P)
100553 Upsilon(2S)
30553 Upsilon(2)(1D)
110551 chi(b0)(2P)
120553 chi(b1)(2P)
100555 chi(b2)(2P)
200553 Upsilon(3S)
300553 Upsilon(4S)
9000553 Upsilon(10860)
9010553 Upsilon(11020)
2212 p
2112 n
12112 N(1440)
1214 N(1520)
22112 N(1535)
32112 N(1650)
2116 N(1675)
12116 N(1680)
21214 N(1700)
42112 N(1710)
31214 N(1720)
1218 N(2190)
1114 Delta(1232)
31114 Delta(1600)
1112 Delta(1620)
11114 Delta(1700)
11112 Delta(1900)
1116 Delta(1905)
21112 Delta(1910)
21114 Delta(1920)
11116 Delta(1930)
1118 Delta(1950)
3122 Lambda
13122 Lambda(1405)
3124 Lambda(1520)
23122 Lambda(1600)
33122 Lambda(1670)
13124 Lambda(1690)
43122 Lambda(1800)
53122 Lambda(1810)
3126 Lambda(1820)
13126 Lambda(1830)
23124 Lambda(1890)
3128 Lambda(2100)
23126 Lambda(2110)
3222 Sigma
3212 Sigma
3112 Sigma
3114 Sigma(1385)
3214 Sigma(1385)
3224 Sigma(1385)
13112 Sigma(1660)
13114 Sigma(1670)
23112 Sigma(1750)
3116 Sigma(1775)
13116 Sigma(1915)
23114 Sigma(1940)
3118 Sigma(2030)
3322 Xi
3312 Xi
3314 Xi(1530)
3324 Xi(1530)
203312 Xi(1690)
13314 Xi(1820)
103316 Xi(1950)
203316 Xi(2030)
3334 Omega
203338 Omega(2250)
4122 Lambda(c)
14122 Lambda(c)(2595)
104122 Lambda(c)(2625)
204126 Lambda(c)(2880)
4112 Sigma(c)(2455)
4212 Sigma(c)(2455)
4222 Sigma(c)(2455)
4114 Sigma(c)(2520)
4214 Sigma(c)(2520)
4224 Sigma(c)(2520)
4232 Xi(c)
4132 Xi(c)
4322 Xi(c)'
4312 Xi(c)'
4314 Xi(c)(2645)
4324 Xi(c)(2645)
104314 Xi(c)(2790)
104324 Xi(c)(2790)
104312 Xi(c)(2815)
104322 Xi(c)(2815)
4332 Omega(c)
4334 Omega(c)(2770)
5122 Lambda(b)
5112 Sigma(b)
5222 Sigma(b)
5114 Sigma(b)*
5224 Sigma(b)*
5132 Xi(b)
5232 Xi(b)
5332 Omega(b)
