	jet_class	PhyDistance	AffinityType	Laplacien	NumEigenvectors	StoppingCondition	AffinityCutoff	ExpofPTPosition	ExpofPTMultiplier	DeltaR
1	SpectralMean	invarient	inverse	unnormalised	2	beamparticle	None	input	0.29603865330696943	0.35139822492518846
2	SpectralMean	angular	inverse	symmetric	8	standard	('knn', 5)	input	0.8624792776413885	1.047914001248362
3	SpectralMean	invarient	inverse	symmetric	2	standard	None	eigenspace	-0.17493772561672816	0.09142635318178938
4	SpectralMean	normed	exponent	symmetric	6	standard	None	eigenspace	-0.970457602301233	0.7543919924996764
5	SpectralMean	invarient	linear	symmetric	4	beamparticle	None	input	-0.0468684716062957	0.9544433850334123
6	SpectralMean	angular	exponent2	symmetric	4	standard	('knn', 5)	eigenspace	-0.05526724962920926	1.0524116928409686
7	SpectralMean	Luclus	linear	unnormalised	3	beamparticle	('distance', 7.4035708640892555)	input	0.9025393278340994	0.4129016400495891
8	SpectralMean	invarient	linear	unnormalised	4	beamparticle	None	eigenspace	0.0476927414710242	1.2090462953014736
9	SpectralMean	Luclus	exponent	unnormalised	7	beamparticle	('knn', 2)	input	0.49411445172732504	1.1674920533903772
10	SpectralMean	angular	inverse	symmetric	2	beamparticle	('knn', 5)	eigenspace	0.9089950674206853	0.45412264168189964
11	SpectralMean	normed	exponent	symmetric	3	standard	('knn', 3)	input	-0.7600174522326764	0.9259865280396691
12	SpectralMean	invarient	linear	symmetric	1	standard	('knn', 5)	input	0.9835989402685146	0.2319053651146703
13	SpectralMean	angular	linear	symmetric	5	beamparticle	None	input	0.299779338493237	0.8376498593779986
14	SpectralMean	Luclus	exponent	unnormalised	2	standard	('knn', 1)	input	-0.47335301836640076	0.9708753610908214
15	SpectralMean	normed	inverse	symmetric	2	standard	('knn', 2)	input	-0.6519987051614238	0.9870119845530029
16	SpectralMean	Luclus	linear	symmetric	2	beamparticle	None	input	0.6448275639828911	0.926843629353262
17	SpectralMean	angular	exponent	symmetric	1	beamparticle	('distance', 9.143844661506954)	eigenspace	0.1764034193619104	0.6385216992746836
18	SpectralMean	angular	linear	unnormalised	1	standard	('distance', 6.55279853740131)	input	0.0794440488148338	0.5903040576719452
19	SpectralMean	Luclus	linear	unnormalised	8	standard	None	eigenspace	-0.43614765153874546	1.4546492208088049
20	SpectralMean	angular	inverse	unnormalised	5	standard	('distance', 5.042668570003982)	eigenspace	0.218671257381285	0.9898152397260416
21	SpectralMean	Luclus	exponent2	unnormalised	4	standard	('distance', 9.420112291274158)	input	-0.23515905234937517	1.3674142222447472
22	SpectralMean	angular	exponent2	symmetric	5	beamparticle	('distance', 8.273567834171265)	input	-0.40294852406131976	0.7417407792735067
23	SpectralMean	invarient	inverse	unnormalised	3	beamparticle	None	input	-0.3464345498485324	0.9593766699946957
24	SpectralMean	invarient	linear	unnormalised	6	beamparticle	('distance', 6.796654421001884)	input	0.705645247299969	0.5529194909953511
25	SpectralMean	normed	linear	symmetric	8	standard	('knn', 3)	eigenspace	-0.9606510722812003	0.7535456557893923
26	SpectralMean	angular	linear	symmetric	1	standard	('knn', 4)	input	-0.1935836228831227	0.893046426277054
27	SpectralMean	invarient	linear	unnormalised	5	standard	('distance', 4.830858633340906)	input	0.5955488021749544	0.11408098673452322
28	SpectralMean	normed	exponent	symmetric	2	beamparticle	None	input	-0.14606077419479502	1.3763578513724846
29	SpectralMean	angular	inverse	unnormalised	4	standard	('knn', 1)	eigenspace	-0.027526858560146028	1.314694333174536
30	SpectralMean	angular	linear	unnormalised	7	beamparticle	None	eigenspace	0.11665829752770307	0.3531224941693714
31	SpectralMean	Luclus	inverse	unnormalised	7	beamparticle	('knn', 5)	input	-0.0789062769660207	0.20767321483154305
32	SpectralMean	Luclus	exponent	unnormalised	3	beamparticle	('distance', 7.473927612412553)	eigenspace	-0.467883867694864	1.312316515752019
33	SpectralMean	Luclus	exponent	symmetric	3	standard	('distance', 0.012304266337875847)	input	0.9214597310861119	1.3025332867822805
34	SpectralMean	Luclus	inverse	symmetric	1	standard	('knn', 3)	input	0.8004399509948024	0.7875194488347642
35	SpectralMean	invarient	exponent2	unnormalised	6	beamparticle	('knn', 4)	eigenspace	0.09732518137138824	0.4350830720411264
36	SpectralMean	Luclus	exponent	unnormalised	2	beamparticle	None	eigenspace	-0.651043071367001	0.3267619194374349
37	SpectralMean	invarient	exponent	symmetric	2	beamparticle	None	input	-0.5922863416043957	0.25347501664910216
38	SpectralMean	normed	inverse	symmetric	5	standard	None	input	-0.929288459333476	0.02706380456779972
39	SpectralMean	angular	linear	symmetric	4	standard	('knn', 4)	eigenspace	0.6312822176069408	1.4819505127056174
40	SpectralMean	invarient	exponent	symmetric	5	standard	('knn', 2)	input	0.809574705335204	0.21539537239533246
41	SpectralMean	Luclus	exponent2	symmetric	9	beamparticle	None	input	0.2139326346331012	0.0018197126617159332
42	SpectralMean	normed	exponent2	symmetric	6	standard	None	eigenspace	-0.2756015780371759	0.905456902655215
43	SpectralMean	Luclus	inverse	symmetric	5	beamparticle	('knn', 4)	eigenspace	-0.7731683549635151	0.5609025388255069
44	SpectralMean	normed	exponent2	unnormalised	1	standard	('knn', 2)	eigenspace	-0.8739907316728139	0.07000817951656801
45	SpectralMean	angular	exponent2	unnormalised	9	standard	('knn', 2)	eigenspace	-0.045395572534379536	1.2879111363773683
46	SpectralMean	invarient	exponent	symmetric	1	beamparticle	('knn', 4)	input	-0.8906796021193055	0.8560875363575771
47	SpectralMean	normed	linear	symmetric	9	beamparticle	None	input	0.6097526336168948	0.2923209314968972
48	SpectralMean	invarient	exponent	symmetric	3	beamparticle	('distance', 2.199849421861544)	eigenspace	-0.14443958542898971	0.24088341146736642
49	SpectralMean	normed	inverse	unnormalised	1	standard	('knn', 2)	input	0.8030122153328083	0.7065728665826142
50	SpectralMean	angular	exponent2	unnormalised	6	beamparticle	None	eigenspace	-0.7252894055996264	0.9298705130060366
51	SpectralMean	invarient	inverse	unnormalised	6	beamparticle	None	input	0.7146198266523713	0.8952954565738016
